id,title,verdict,reason,has_photo,is_historic,step_count,ingredient_count,abv_present,glass_present
cck_0f230eae7a3cd7b0c165a4,Black Stripe,KEEP,,1,1,2,2,1,1
cck_0f26fd099df038994a7469,Gimlet,KEEP,,1,0,3,4,1,1
cck_0f2f3c1baf8927619f0490,Mayfair Cocktail,DELETE,no_instructions,0,1,0,0,0,0
cck_0f4755d2158d43a7ef2643,Buck's Fizz (cocktail),KEEP,,0,0,2,2,1,1
cck_0f5d2eca9078ef07af6c87,New Orleans Fizz,KEEP,,0,1,8,0,1,1
cck_0f877d62c32cafd5291782,Brandy crusta,KEEP,,1,0,2,6,1,1
cck_0f8ed2559346bd2c913987,Golden Elk,FIX,abv_missing;no_image_modern,0,0,4,2,0,1
cck_0faed475014245b744e686,Dry Punch,KEEP,,0,1,3,5,1,1
cck_0fb620c6a33ab6216aa3ea,Sterling Punch,KEEP,,0,1,2,1,1,1
cck_0fbd4eab53b6e36260bbe4,Egg Flip,KEEP,,1,1,4,2,1,1
cck_0fe34d00b403f1ef47e421,Badminton Cup,KEEP,,0,1,2,6,1,1
cck_0ffc3d7d0610b9b74613b1,Clove Cocktail,KEEP,,1,0,1,3,1,1
cck_1046fd1c2ebf0148513362,Apricot Lady,KEEP,,1,0,4,6,1,1
cck_104c8e8312acab49c2aee1,Bishop,DELETE,all_undefined_ingredients,1,1,8,4,1,1
cck_10625626ec171a0f2a0c05,Whisky Mac,KEEP,,1,0,1,2,1,1
cck_108760206f699bfa558031,Balmoral,KEEP,,1,0,3,4,1,1
cck_10a139e82ec962e38fc539,Cliftin Cocktail,FIX,vague_one_sentence;abv_missing;glass_type_field_missing,0,1,1,0,0,1
cck_10b0388db4c21bd4db9c32,Garden of Eden,KEEP,,0,1,2,0,1,1
cck_10b855effb1515414b1c55,Mulled Wine with Eggs,KEEP,,0,1,2,3,1,1
cck_10c2bb47d12a5bee417cdc,Improved Holland Gin Cocktail,KEEP,,0,0,3,4,1,1
cck_10e0b363e9ca33866c82bd,White Stripe,DELETE,abv_without_alcohol,0,1,3,1,1,1
cck_10e0fc93decaa95c67eb1a,South Side Fizz,FIX,abv_missing;no_image_modern;glass_type_field_missing;method_field_missing,0,0,10,5,0,1
cck_10f797afdf88f7a87fd254,Isabelle Cocktail,DELETE,no_instructions,0,1,0,0,0,1
cck_10f859a57887ca3fa6240d,Alexander Cocktail,FIX,abv_missing;glass_type_field_missing,1,1,2,0,0,1
cck_110247a8d175e214d04ae5,Brandy Alexander,KEEP,,1,0,2,3,1,1
cck_11055980436fcf05a0c7a7,Curacoa Punch,KEEP,,0,1,2,1,1,1
cck_110d0540fbd2233f404214,Bishop,KEEP,,1,1,7,0,1,1
cck_1113c7a213c5fb40e88ac5,Angel Tip,KEEP,,0,1,2,0,1,1
cck_112791c643ecbd355f7514,Singapore sling,KEEP,,1,0,3,8,1,1
cck_112e5b46c4d0bc4eaa0a99,Gin and Pine,KEEP,,0,1,2,2,1,1
cck_1149f10edc23b928bced03,Egg Flip,KEEP,,1,1,1,0,0,1
cck_117aec70d5a795523ea2a6,Promoter,KEEP,,0,1,8,0,1,1
cck_1182fc045a2e8dcc9eb8e6,Columbus Cocktail,FIX,abv_missing;glass_type_field_missing,0,1,2,0,0,1
cck_118a12dbe9bc494ef8da1a,Horsford Punch,KEEP,,0,1,1,3,1,1
cck_1194a3f03ae8c9e27e700e,Daniel Webster Punch,FIX,abv_missing;method_field_missing,0,1,2,0,0,1
cck_11b699605c28a919a9a91b,Income Tax,KEEP,,0,0,3,5,1,1
